seed,average_reward,average_steps,success_rate,detection_rate,final_training_reward,final_loss
7,118.0,18.0,100.0,0.0,115.7,5.880966515091229
21,118.0,18.0,100.0,0.0,116.6,9.26315248006522
42,118.0,18.0,100.0,0.0,94.1,8.275055656857067
84,118.0,18.0,100.0,0.0,116.4,7.047910900385233
123,-106.0,4.0,0.0,100.0,-120.4,5.042378926131364
