seed,episode,average_reward,success_rate,epsilon,loss
21,150,-110.9,0.0,0.47147873742168567,12.062095616689493
21,160,-110.6,0.0,0.4484282034609769,12.932776702208951
21,170,-109.7,0.0,0.42650460709830135,12.317992621696357
21,180,-108.8,0.0,0.40565285250151817,13.702992892662683
21,190,-108.8,0.0,0.3858205374665315,12.152637928326925
21,200,-108.7,0.0,0.3669578217261671,12.476048914194106
21,210,-109.5,0.0,0.34901730169741024,14.322308662959509
21,220,-113.1,0.0,0.33195389135223546,14.166344403425853
21,230,-107.6,0.0,0.3157247089126454,14.02407805522283
21,240,-109.3,0.0,0.30028896908517405,15.109300511640217
21,250,-107.5,0.0,0.285607880564032,13.587586781619086
21,260,-105.9,0.0,0.27164454854530906,14.018077972294794
21,270,-106.9,0.0,0.2583638820072446,13.250659422135495
21,280,-107.5,0.0,0.2457325055235537,13.947159013218814
21,290,-105.3,0.0,0.23371867538818816,13.44274049955701
21,300,-103.7,0.0,0.22229219984074702,12.954138201159207
21,310,-59.8,20.0,0.21142436319205632,12.472435297754474
21,320,-81.1,10.0,0.2010878536592394,12.035647719585608
21,330,-90.0,10.0,0.1912566947289212,12.059704552734912
21,340,-104.9,0.0,0.18190617987607657,11.206618684089843
21,350,-71.6,20.0,0.1730128104744653,11.604678472494466
21,360,23.5,60.0,0.16455423674261854,11.091739603441102
21,370,-6.7,50.0,0.15650920157696743,10.770738039669888
21,380,47.4,70.0,0.14885748713096328,10.50577574151745
21,390,91.2,90.0,0.14157986400593744,10.576382176807652
21,400,-24.7,50.0,0.1346580429260134,10.206942708329457
21,410,48.6,70.0,0.12807462877562611,10.377444559910481
21,420,-37.3,30.0,0.12181307688414106,9.310738880163745
21,430,5.1,50.0,0.11585765144771248,10.583783296496245
21,440,93.8,90.0,0.11019338598389174,10.155856395488838
21,450,29.6,60.0,0.10480604571960442,10.099584106083245
21,460,50.0,70.0,0.0996820918179746,10.223076389636525
21,470,71.4,80.0,0.09480864735409487,10.302042907699507
21,480,69.7,80.0,0.09017346495423652,10.013391993354581
21,490,51.5,70.0,0.08576489601717459,9.374444116092317
21,500,116.6,100.0,0.08157186144027828,9.26315248006522
42,10,-131.5,0.0,0.9511101304657719,5.400202128238147
42,20,-130.8,0.0,0.9046104802746175,7.020859761233439
42,30,-158.8,0.0,0.8603841919146962,6.828043961371032
42,40,-129.4,0.0,0.8183201210226743,5.907065061050404
42,50,-133.7,0.0,0.778312557068642,5.832822067588379
42,60,-122.0,0.0,0.7402609576967045,6.357880016633361
42,70,-117.0,0.0,0.7040696960536299,6.915364423661932
42,80,-120.6,0.0,0.6696478204705644,7.279866630714091
42,90,-111.7,0.0,0.6369088258938781,7.631761401334811
42,100,-117.3,0.0,0.6057704364907278,8.03352114835604
42,110,-111.7,0.0,0.5761543988830038,8.856260543721062
42,120,-116.9,0.0,0.547986285490042,8.910090220148152
42,130,-111.8,0.0,0.5211953074858876,9.780364026058288
42,140,-113.2,0.0,0.49571413690105054,8.91723042783971
42,150,-114.1,0.0,0.47147873742168567,9.85623280315354
42,160,-106.9,0.0,0.4484282034609769,10.039698873559633
42,170,-116.1,0.0,0.42650460709830135,9.943895878060784
42,180,-113.3,0.0,0.40565285250151817,10.18996958540467
42,190,-107.4,0.0,0.3858205374665315,9.177911441326142
42,200,-117.0,0.0,0.3669578217261671,11.054306797818704
42,210,-109.8,10.0,0.34901730169741024,10.152217848488451
42,220,-108.8,0.0,0.33195389135223546,9.722242748195475
42,230,-100.0,10.0,0.3157247089126454,10.406357238315646
42,240,-106.0,0.0,0.30028896908517405,9.9207808526647
42,250,-85.2,10.0,0.285607880564032,10.525879054216308
42,260,-64.4,20.0,0.27164454854530906,10.24924428745111
42,270,-40.8,30.0,0.2583638820072446,10.188301221750233
42,280,-43.0,30.0,0.2457325055235537,9.878756291477767
42,290,31.5,70.0,0.23371867538818816,9.981568110180508
42,300,-50.8,40.0,0.22229219984074702,9.91992659672775
42,310,-46.6,30.0,0.21142436319205632,9.655375289610317
42,320,-84.6,10.0,0.2010878536592394,8.41260629384638
42,330,-80.5,10.0,0.1912566947289212,8.931569527510703
42,340,-60.2,20.0,0.18190617987607657,8.545145146204042
42,350,-36.9,30.0,0.1730128104744653,9.016602794474302
42,360,-59.6,20.0,0.16455423674261854,8.769154841404836
42,370,-80.2,10.0,0.15650920157696743,8.59248644760267
42,380,-80.2,10.0,0.14885748713096328,8.94430304202557
42,390,-102.3,0.0,0.14157986400593744,8.511071186188108
42,400,-80.2,10.0,0.1346580429260134,8.505677018849289
42,410,-101.4,0.0,0.12807462877562611,8.338121248460006
42,420,-102.2,0.0,0.12181307688414106,8.191116072630162
42,430,8.1,50.0,0.11585765144771248,8.336420594737891
42,440,70.1,80.0,0.11019338598389174,8.414805558354235
42,450,48.6,70.0,0.10480604571960442,8.231401838082618
42,460,26.0,60.0,0.0996820918179746,8.174852181731776
42,470,71.6,80.0,0.09480864735409487,7.749766325963445
42,480,72.7,80.0,0.09017346495423652,7.993297353623406
42,490,27.8,60.0,0.08576489601717459,8.355869730447768
42,500,94.1,90.0,0.08157186144027828,8.275055656857067
84,10,-132.5,0.0,0.9511101304657719,5.382926242842394
84,20,-132.4,0.0,0.9046104802746175,6.5878216611720415
84,30,-120.8,0.0,0.8603841919146962,8.021578235535591
84,40,-128.7,0.0,0.8183201210226743,8.395078509892084
84,50,-129.1,0.0,0.778312557068642,7.769955886679339
84,60,-120.2,0.0,0.7402609576967045,7.56339114283613
84,70,-120.4,0.0,0.7040696960536299,9.101013735592968
84,80,-118.0,0.0,0.6696478204705644,9.265517318447431
84,90,-116.4,0.0,0.6369088258938781,9.205665089043704
84,100,-115.1,0.0,0.6057704364907278,10.025481525093618
84,110,-115.2,0.0,0.5761543988830038,10.879505245051686
84,120,-128.0,0.0,0.547986285490042,10.388695063701663
84,130,-116.7,0.0,0.5211953074858876,9.89174900641469
84,140,-114.1,0.0,0.49571413690105054,9.55910360635637
84,150,-113.3,0.0,0.47147873742168567,9.495525657615485
84,160,-111.6,0.0,0.4484282034609769,9.470469284246837
84,170,-90.5,10.0,0.42650460709830135,8.86886217619152
84,180,-85.7,10.0,0.40565285250151817,9.471901152295603
84,190,-94.1,10.0,0.3858205374665315,9.426905690358707
84,200,-111.1,0.0,0.3669578217261671,10.630030475643068
84,210,-28.7,40.0,0.34901730169741024,9.228729706227401
84,220,-24.1,40.0,0.33195389135223546,8.868424372434324
84,230,-49.2,30.0,0.3157247089126454,8.417670406458337
84,240,-68.4,20.0,0.30028896908517405,9.124940157436189
84,250,-71.3,20.0,0.285607880564032,8.26229376229898
84,260,-45.4,30.0,0.27164454854530906,7.846246054825137
84,270,-42.2,30.0,0.2583638820072446,9.552358289589469
84,280,17.4,60.0,0.2457325055235537,8.949863146846996
84,290,22.7,60.0,0.23371867538818816,8.66216199909674
84,300,-23.9,40.0,0.22229219984074702,8.393821956419307
84,310,2.6,50.0,0.21142436319205632,8.265495267734773
84,320,4.4,50.0,0.2010878536592394,8.535316338163781
84,330,-4.2,50.0,0.1912566947289212,7.914785751076543
84,340,-31.0,40.0,0.18190617987607657,8.424480580495148
84,350,-14.8,60.0,0.1730128104744653,8.068134166529854
84,360,3.3,50.0,0.16455423674261854,8.33663710859614
84,370,-20.2,50.0,0.15650920157696743,8.783951985239588
84,380,86.1,90.0,0.14885748713096328,8.036165893340954
84,390,1.9,90.0,0.14157986400593744,8.256786426874902
84,400,26.2,60.0,0.1346580429260134,8.281689522449053
84,410,12.2,60.0,0.12807462877562611,7.908305141978029
84,420,64.1,80.0,0.12181307688414106,8.116250822531779
84,430,79.5,90.0,0.11585765144771248,7.787737423607898
