seed,episode,average_reward,success_rate,epsilon,loss
7,10,-120.4,0.0,0.9511101304657719,4.729785318715232
7,20,-138.5,0.0,0.9046104802746175,8.15185045979519
7,30,-139.6,0.0,0.8603841919146962,7.744370757916698
7,40,-133.5,0.0,0.8183201210226743,6.653831849838158
7,50,-119.9,0.0,0.778312557068642,6.801998965643411
7,60,-122.4,0.0,0.7402609576967045,6.930174566949349
7,70,-117.3,0.0,0.7040696960536299,6.927154225878676
7,80,-123.2,0.0,0.6696478204705644,7.54180036257924
7,90,-124.3,0.0,0.6369088258938781,7.579676188848895
7,100,-97.3,10.0,0.6057704364907278,7.702682602851347
7,110,-112.9,0.0,0.5761543988830038,7.425485392092935
7,120,-119.0,0.0,0.547986285490042,8.005604620815053
7,130,-116.9,0.0,0.5211953074858876,7.457318311995193
7,140,-84.0,20.0,0.49571413690105054,7.717967260449997
7,150,-92.1,10.0,0.47147873742168567,7.835281751968003
7,160,-89.8,10.0,0.4484282034609769,7.223642820502077
7,170,-89.8,10.0,0.42650460709830135,7.985049350178774
7,180,-71.0,20.0,0.40565285250151817,7.1078749280161375
7,190,-89.2,10.0,0.3858205374665315,7.122525046736508
7,200,-88.4,10.0,0.3669578217261671,7.077891314247816
7,210,-113.7,0.0,0.34901730169741024,7.508481155341944
7,220,-43.2,30.0,0.33195389135223546,6.601526970374216
7,230,-2.4,50.0,0.3157247089126454,7.313379130313433
7,240,18.8,60.0,0.30028896908517405,7.373422818957872
7,250,20.2,60.0,0.285607880564032,6.7091116582290855
7,260,-1.2,50.0,0.27164454854530906,7.221097629870594
7,270,85.9,90.0,0.2583638820072446,6.797095492429472
7,280,63.0,80.0,0.2457325055235537,7.191227976301258
7,290,65.0,80.0,0.23371867538818816,7.168751168293528
7,300,68.8,80.0,0.22229219984074702,6.404783480014892
7,310,90.6,90.0,0.21142436319205632,6.960414552648937
7,320,25.9,60.0,0.2010878536592394,6.5976125749697285
7,330,45.2,70.0,0.1912566947289212,6.351020247576967
7,340,23.2,60.0,0.18190617987607657,6.862755130111618
7,350,70.8,90.0,0.1730128104744653,6.449781317842278
7,360,68.9,90.0,0.16455423674261854,6.250718113997794
7,370,68.7,80.0,0.15650920157696743,6.474182521427681
7,380,24.5,60.0,0.14885748713096328,6.268558655654853
7,390,115.8,100.0,0.14157986400593744,6.150051970536637
7,400,92.8,90.0,0.1346580429260134,6.345202065438206
7,410,112.3,100.0,0.12807462877562611,6.374968359184692
7,420,114.1,100.0,0.12181307688414106,5.767659793480805
7,430,72.2,80.0,0.11585765144771248,5.688397020937074
7,440,67.7,80.0,0.11019338598389174,5.910936876016299
7,450,93.6,90.0,0.10480604571960442,5.566835946060453
7,460,93.7,90.0,0.0996820918179746,5.743259742691306
7,470,94.7,90.0,0.09480864735409487,5.7614568857683075
7,480,114.9,100.0,0.09017346495423652,5.826026092128659
7,490,73.4,80.0,0.08576489601717459,5.570121257066039
7,500,114.5,100.0,0.08157186144027828,5.43714176985786
21,10,-115.6,0.0,0.9511101304657719,5.6442778253555295
21,20,-122.0,0.0,0.9046104802746175,10.948844920498825
21,30,-129.7,0.0,0.8603841919146962,10.159466967218162
21,40,-121.0,0.0,0.8183201210226743,8.677704392060479
21,50,-134.1,0.0,0.778312557068642,8.780049773147867
21,60,-132.1,0.0,0.7402609576967045,8.661085021816664
21,70,-113.9,0.0,0.7040696960536299,8.31665618050666
21,80,-112.5,0.0,0.6696478204705644,9.605535385022089
21,90,-113.3,0.0,0.6369088258938781,8.944492698676056
21,100,-117.1,0.0,0.6057704364907278,9.365941252604161
21,110,-115.6,0.0,0.5761543988830038,9.683280245195919
21,120,-112.3,0.0,0.547986285490042,9.45635872115243
21,130,-113.5,0.0,0.5211953074858876,9.360528376308327
21,140,-112.8,0.0,0.49571413690105054,9.421875185846652
21,150,-111.3,0.0,0.47147873742168567,9.141111069501234
21,160,-48.0,30.0,0.4484282034609769,9.293049977645751
21,170,-89.4,10.0,0.42650460709830135,9.216950416588173
21,180,-89.5,10.0,0.40565285250151817,9.203263139333815
21,190,-51.4,30.0,0.3858205374665315,8.476725858030653
21,200,-71.5,20.0,0.3669578217261671,9.540151972242313
21,210,-66.8,20.0,0.34901730169741024,8.2733212820124
21,220,-28.0,40.0,0.33195389135223546,8.386727512612504
21,230,40.2,70.0,0.3157247089126454,7.979999018275128
21,240,-27.1,60.0,0.30028896908517405,7.987755474494894
21,250,2.4,50.0,0.285607880564032,7.501851233110271
21,260,43.8,70.0,0.27164454854530906,7.052587054704527
21,270,20.2,60.0,0.2583638820072446,6.818459018143729
21,280,25.2,60.0,0.2457325055235537,7.272115436792833
21,290,0.1,50.0,0.23371867538818816,7.63639135222104
21,300,83.2,90.0,0.22229219984074702,7.021808559762834
21,310,25.2,60.0,0.21142436319205632,7.3738347015565395
21,320,86.9,90.0,0.2010878536592394,6.546605819192353
21,330,69.4,80.0,0.1912566947289212,6.7436515528448355
21,340,109.3,100.0,0.18190617987607657,6.596952698501157
21,350,90.3,90.0,0.1730128104744653,6.933784419829142
21,360,89.6,90.0,0.16455423674261854,6.5038307435886695
21,370,91.3,90.0,0.15650920157696743,6.245197556484735
21,380,113.1,100.0,0.14885748713096328,6.237663112813411
21,390,46.2,70.0,0.14157986400593744,6.689039576812545
21,400,89.2,90.0,0.1346580429260134,6.515543251424238
21,410,68.6,80.0,0.12807462877562611,6.540103698335132
21,420,69.9,80.0,0.12181307688414106,6.327910269871479
21,430,45.0,70.0,0.11585765144771248,6.265542550980508
21,440,89.2,90.0,0.11019338598389174,6.0660294957839005
21,450,68.6,80.0,0.10480604571960442,6.437855508966628
21,460,48.1,70.0,0.0996820918179746,5.8264800499327745
21,470,6.2,50.0,0.09480864735409487,6.364959340322026
21,480,113.8,100.0,0.09017346495423652,5.95032834747627
21,490,114.9,100.0,0.08576489601717459,6.119489519319048
21,500,29.1,60.0,0.08157186144027828,6.355287713904044
42,10,-131.5,0.0,0.9511101304657719,5.049789751489957
42,20,-130.8,0.0,0.9046104802746175,6.8405219342659676
42,30,-131.8,0.0,0.8603841919146962,6.331633031522018
42,40,-120.9,0.0,0.8183201210226743,6.782525885032885
42,50,-129.4,0.0,0.778312557068642,7.78141498128775
42,60,-125.1,0.0,0.7402609576967045,7.49577501876652
42,70,-119.5,0.0,0.7040696960536299,8.43552435979204
42,80,-112.0,0.0,0.6696478204705644,7.906511037843131
42,90,-103.6,10.0,0.6369088258938781,8.378662257914565
42,100,-116.6,0.0,0.6057704364907278,8.65306722715116
42,110,-113.5,0.0,0.5761543988830038,9.41986952454616
42,120,-117.0,0.0,0.547986285490042,8.605230895237568
42,130,-113.7,0.0,0.5211953074858876,7.89956108723368
42,140,-92.9,10.0,0.49571413690105054,8.555707064257703
42,150,-108.6,0.0,0.47147873742168567,8.059854698845466
42,160,-112.4,0.0,0.4484282034609769,8.134977950053491
42,170,-117.4,10.0,0.42650460709830135,8.215564333713173
42,180,-70.9,20.0,0.40565285250151817,7.92563446436594
42,190,-104.6,0.0,0.3858205374665315,7.735096898681425
42,200,-87.3,10.0,0.3669578217261671,7.889816154347784
42,210,-22.4,40.0,0.34901730169741024,8.163516117325127
42,220,-64.8,20.0,0.33195389135223546,8.326729951154672
42,230,-42.7,30.0,0.3157247089126454,7.521712884015798
42,240,-43.4,30.0,0.30028896908517405,7.726342602953922
42,250,-5.1,50.0,0.285607880564032,8.246560128022983
42,260,-11.7,50.0,0.27164454854530906,7.454716931316537
42,270,-39.8,30.0,0.2583638820072446,7.39544781525875
42,280,27.0,70.0,0.2457325055235537,7.286757451758044
42,290,-0.6,50.0,0.23371867538818816,7.143493999727189
42,300,85.5,90.0,0.22229219984074702,7.005939222220742
42,310,45.1,70.0,0.21142436319205632,7.085724393033192
42,320,64.5,80.0,0.2010878536592394,6.796179958155426
42,330,45.1,70.0,0.1912566947289212,6.871077025350968
42,340,65.4,80.0,0.18190617987607657,6.276552613150059
42,350,89.7,90.0,0.1730128104744653,6.778874272660905
42,360,26.4,60.0,0.16455423674261854,6.295319727727889
42,370,46.4,70.0,0.15650920157696743,6.418035477145797
42,380,5.5,50.0,0.14885748713096328,6.68736406167478
42,390,92.0,90.0,0.14157986400593744,6.884898024196028
42,400,87.7,90.0,0.1346580429260134,6.115724524794406
42,410,68.8,80.0,0.12807462877562611,7.228133796210058
42,420,90.6,90.0,0.12181307688414106,6.749852042852872
42,430,112.8,100.0,0.11585765144771248,6.63793657034536
42,440,71.6,80.0,0.11019338598389174,6.167440873699363
42,450,49.3,70.0,0.10480604571960442,6.226939263845401
42,460,27.3,60.0,0.0996820918179746,6.1760141787539995
42,470,28.3,60.0,0.09480864735409487,6.221918857760171
42,480,-59.0,20.0,0.09017346495423652,6.538985401484316
42,490,-55.4,20.0,0.08576489601717459,5.9455525937604445
42,500,-56.7,20.0,0.08157186144027828,6.4004275258774515
84,10,-133.1,0.0,0.9511101304657719,5.336164002734971
