seed,average_reward,average_steps,success_rate,detection_rate,final_training_reward,final_loss
7,118.0,18.0,100.0,0.0,114.5,5.43714176985786
21,118.0,18.0,100.0,0.0,29.1,6.355287713904044
42,118.0,18.0,100.0,0.0,-56.7,6.4004275258774515
84,118.0,18.0,100.0,0.0,48.9,5.700186335755136
123,118.0,18.0,100.0,0.0,115.3,5.310129426682279
