seed,episode,average_reward,success_rate,epsilon,loss
7,10,-120.4,0.0,0.9511101304657719,4.729785318715232
7,20,-138.5,0.0,0.9046104802746175,8.22675923125909
7,30,-140.8,0.0,0.8603841919146962,8.192900771536234
7,40,-122.5,0.0,0.8183201210226743,6.962515140814199
7,50,-122.0,0.0,0.778312557068642,7.843613324508456
7,60,-123.8,0.0,0.7402609576967045,7.85508649488707
7,70,-118.8,0.0,0.7040696960536299,7.740868093921589
7,80,-116.1,0.0,0.6696478204705644,8.734033679965146
7,90,-118.6,0.0,0.6369088258938781,8.722510246025706
7,100,-128.7,0.0,0.6057704364907278,9.025695708466099
7,110,-117.6,0.0,0.5761543988830038,8.796851601643633
7,120,-96.2,10.0,0.547986285490042,9.324790990966838
7,130,-73.4,20.0,0.5211953074858876,9.214932224218334
7,140,-110.8,0.0,0.49571413690105054,8.913205506884866
7,150,-114.6,0.0,0.47147873742168567,8.909576119054346
7,160,-32.8,40.0,0.4484282034609769,8.783727677017158
7,170,-43.4,40.0,0.42650460709830135,8.153572222782383
7,180,44.6,80.0,0.40565285250151817,7.988141309105981
7,190,-49.6,30.0,0.3858205374665315,7.3482225367008365
7,200,-50.8,30.0,0.3669578217261671,7.568121466588496
7,210,-9.9,50.0,0.34901730169741024,7.633244014298034
7,220,-3.9,50.0,0.33195389135223546,7.398133843476913
7,230,77.8,90.0,0.3157247089126454,7.052017805805358
7,240,80.1,90.0,0.30028896908517405,7.164577037690732
7,250,-20.9,40.0,0.285607880564032,6.808746747482085
7,260,18.6,60.0,0.27164454854530906,6.910217634477533
7,270,64.3,80.0,0.2583638820072446,6.937618664818066
7,280,62.7,80.0,0.2457325055235537,6.651894830664624
7,290,0.4,50.0,0.23371867538818816,7.074459052429357
7,300,42.9,70.0,0.22229219984074702,6.7807577279152325
7,310,71.5,90.0,0.21142436319205632,6.360835468006449
7,320,-20.1,70.0,0.2010878536592394,6.315805492231598
7,330,-39.4,30.0,0.1912566947289212,6.052590509825501
7,340,-80.2,10.0,0.18190617987607657,5.964192399617428
7,350,-58.4,20.0,0.1730128104744653,7.163659390780587
7,360,-79.6,10.0,0.16455423674261854,7.627864103513008
7,370,-61.4,20.0,0.15650920157696743,7.3262573121768835
7,380,91.8,90.0,0.14885748713096328,8.055737900778713
7,390,68.0,80.0,0.14157986400593744,7.001760283937843
7,400,87.8,90.0,0.1346580429260134,7.849832305694521
7,410,110.2,100.0,0.12807462877562611,7.986207949247898
7,420,24.5,60.0,0.12181307688414106,7.310612608964038
7,430,67.9,80.0,0.11585765144771248,7.368980671103681
7,440,114.0,100.0,0.11019338598389174,7.184806009525262
7,450,91.7,90.0,0.10480604571960442,6.98186935575625
7,460,71.4,80.0,0.0996820918179746,6.732082931995391
7,470,-13.8,50.0,0.09480864735409487,6.27442975641718
7,480,-93.6,20.0,0.09017346495423652,6.893238030919899
7,490,-84.7,10.0,0.08576489601717459,7.191423904491596
7,500,-110.9,0.0,0.08157186144027828,6.735558770911856
21,10,-115.6,0.0,0.9511101304657719,5.6442778253555295
21,20,-122.0,0.0,0.9046104802746175,11.010127026651704
21,30,-130.9,0.0,0.8603841919146962,9.885823210939472
21,40,-134.3,0.0,0.8183201210226743,8.785901943824356
21,50,-128.1,0.0,0.778312557068642,8.56912511695767
21,60,-115.1,0.0,0.7402609576967045,7.102079282648255
21,70,-120.3,0.0,0.7040696960536299,8.471227795993782
21,80,-125.7,0.0,0.6696478204705644,8.564800509034402
21,90,-100.8,10.0,0.6369088258938781,8.674365848499177
21,100,-113.7,0.0,0.6057704364907278,8.831075588605621
21,110,-96.9,10.0,0.5761543988830038,8.416544243269849
21,120,-104.6,10.0,0.547986285490042,8.715374249435689
21,130,-81.0,20.0,0.5211953074858876,7.631388447997274
21,140,-97.4,20.0,0.49571413690105054,6.90366069563561
21,150,-87.4,20.0,0.47147873742168567,7.72224187330432
21,160,-67.5,20.0,0.4484282034609769,7.856289766435808
21,170,-89.4,10.0,0.42650460709830135,6.227983081689151
21,180,-79.0,20.0,0.40565285250151817,7.873569313112705
21,190,-48.5,30.0,0.3858205374665315,7.0848067366317125
21,200,-46.8,30.0,0.3669578217261671,7.502592985507482
21,210,-49.2,40.0,0.34901730169741024,7.052325088607018
21,220,-26.7,40.0,0.33195389135223546,7.107274504296944
21,230,-29.3,40.0,0.3157247089126454,7.212574390087691
21,240,15.8,60.0,0.30028896908517405,6.9846752381512545
21,250,-15.7,60.0,0.285607880564032,7.04974153583848
21,260,61.9,80.0,0.27164454854530906,6.894200360075823
21,270,75.8,90.0,0.2583638820072446,6.987669751814155
21,280,65.0,80.0,0.2457325055235537,6.7459918268246595
21,290,61.3,80.0,0.23371867538818816,7.233568455928555
21,300,64.2,80.0,0.22229219984074702,6.615577524894556
21,310,67.0,80.0,0.21142436319205632,6.835317687765276
21,320,85.4,90.0,0.2010878536592394,6.585284420883321
21,330,83.4,90.0,0.1912566947289212,6.407114393949771
21,340,87.5,90.0,0.18190617987607657,6.333302745604422
