seed,average_reward,average_steps,success_rate,detection_rate,final_training_reward,final_loss
7,-104.0,6.0,0.0,100.0,-103.8,8.366590113602578
21,-100.0,10.0,0.0,100.0,-101.2,7.976339782456478
42,118.0,18.0,100.0,0.0,48.8,7.091165089604743
84,118.0,18.0,100.0,0.0,94.6,6.384030382302073
123,118.0,18.0,100.0,0.0,55.2,4.370236975775297
