seed,episode,average_reward,success_rate,epsilon,loss
7,10,-120.4,0.0,0.9511101304657719,4.729676241874695
7,20,-138.5,0.0,0.9046104802746175,8.226397052306002
7,30,-140.8,0.0,0.8603841919146962,8.193820547956449
7,40,-122.5,0.0,0.8183201210226743,6.964027247833258
7,50,-122.0,0.0,0.778312557068642,7.846946077869674
7,60,-126.8,0.0,0.7402609576967045,7.687423040252672
7,70,-126.0,0.0,0.7040696960536299,7.824717265805821
7,80,-122.5,0.0,0.6696478204705644,7.349943149916578
7,90,-114.3,0.0,0.6369088258938781,7.70431477830287
7,100,-113.8,0.0,0.6057704364907278,8.350102733071534
7,110,-56.5,30.0,0.5761543988830038,8.236355094328044
7,120,-118.3,0.0,0.547986285490042,8.099738835257845
7,130,-82.2,20.0,0.5211953074858876,7.891534673663277
7,140,-91.3,10.0,0.49571413690105054,8.069190079878677
7,150,-31.9,40.0,0.47147873742168567,7.488468791139269
7,160,-28.8,40.0,0.4484282034609769,8.198713957456054
7,170,-50.6,30.0,0.42650460709830135,7.430163326987525
7,180,-28.1,40.0,0.40565285250151817,7.598249247417006
7,190,-28.8,40.0,0.3858205374665315,7.488229039528616
7,200,-25.5,40.0,0.3669578217261671,7.371342110048891
7,210,-26.6,40.0,0.34901730169741024,7.010098026663504
7,220,19.4,60.0,0.33195389135223546,7.108765806033615
7,230,22.6,60.0,0.3157247089126454,6.968841367585628
7,240,80.5,90.0,0.30028896908517405,7.110751350036823
7,250,-30.8,40.0,0.285607880564032,6.542335027112074
7,260,19.0,60.0,0.27164454854530906,6.77441147085801
7,270,43.2,70.0,0.2583638820072446,6.407988327727935
7,280,18.4,60.0,0.2457325055235537,7.328272760530803
7,290,67.9,80.0,0.23371867538818816,6.32367456414
7,300,42.6,70.0,0.22229219984074702,6.716114659041874
7,310,9.9,60.0,0.21142436319205632,6.815056319586998
7,320,-1.4,50.0,0.2010878536592394,6.6648109275134875
7,330,-59.5,20.0,0.1912566947289212,6.86015073132949
7,340,-104.4,0.0,0.18190617987607657,7.59247580620588
7,350,-35.7,30.0,0.1730128104744653,7.346594161580137
7,360,-101.3,0.0,0.16455423674261854,7.6479290729580995
7,370,-103.1,0.0,0.15650920157696743,8.112272163920458
7,380,-103.9,0.0,0.14885748713096328,8.880274995153858
7,390,-71.3,20.0,0.14157986400593744,8.088302291704277
7,400,-80.6,10.0,0.1346580429260134,9.369947801778714
7,410,-77.8,10.0,0.12807462877562611,9.309323206142555
7,420,-39.2,30.0,0.12181307688414106,8.764971210933954
7,430,8.7,60.0,0.11585765144771248,9.9205748109097
7,440,15.4,70.0,0.11019338598389174,8.642910388523068
7,450,84.5,90.0,0.10480604571960442,8.388105914664683
7,460,62.9,80.0,0.0996820918179746,7.85622567966419
7,470,48.5,70.0,0.09480864735409487,8.76086835028835
7,480,-102.5,0.0,0.09017346495423652,8.275349138984014
